customerID,customerType,investmentCapacity,dominant_channel,dominant_asset_category,total_transactions,buy_count,sell_count,num_unique_assets,num_unique_asset_categories,total_buy_value,total_sell_value,total_transaction_value,avg_transaction_value,buy_sell_ratio,customer_tenure_days,riskLevel
CD554C28A7B43AA25F78,Mass,Predicted_CAP_LT30K,Phone Banking,Stock,2,1,1,1,1,162.0,139.3,301.3,150.65,1.0,65,Balanced
7E2A9D3C9CBE4713D9D3,Mass,Predicted_CAP_LT30K,Internet Banking,Stock,2,1,1,1,1,518.4000000000001,472.0,990.4000000000001,495.20000000000005,1.0,104,Balanced
EA04BC449A57C38B3AFC,Mass,Predicted_CAP_LT30K,Branch,Stock,2,1,1,1,1,1134.0,961.1,2095.1,1047.55,1.0,101,Aggressive
8557A4F922459742C846,Mass,Predicted_CAP_LT30K,Internet Banking,Stock,2,1,1,1,1,9373.644,9894.402,19268.046000000002,9634.023000000001,1.0,30,Balanced
E9591346DF755BAC0C9A,Mass,CAP_LT30K,Branch,MTF,4,2,2,2,2,786.0316303000001,842.8457212000001,1628.8773515000003,407.21933787500006,1.0,784,Conservative
D1A48F259190BA258997,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,419.325984,543.7870848,963.1130688000001,481.55653440000003,1.0,1252,Balanced
2A2C487C25ACB7AF6BCE,Mass,CAP_80K_300K,Branch,MTF,7,6,1,4,1,32476.6357847,10999.599,43476.2347847,6210.890683528572,6.0,1463,Income
09B8A54A0F3426BA6E3E,Premium,CAP_LT30K,Branch,MTF,2,1,1,1,1,3281.1557922,3333.9745071,6615.130299300001,3307.5651496500004,1.0,163,Income
9E78BF7772C45A1092A0,Mass,CAP_30K_80K,Branch,Stock,4,2,2,2,1,803.5199999999999,219.12,1022.6399999999999,255.65999999999997,1.0,1354,Conservative
2C2C105CA92460DF136F,Premium,CAP_LT30K,Internet Banking,Stock,80,76,4,18,1,164074.1384,45446.525,209520.6634,2619.0082924999997,19.0,1786,Balanced
3268B59D527125DCA56E,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,351.6962211,412.7299865,764.4262076,382.2131038,1.0,1353,Conservative
8476AF1B27FDD1470FDC,Professional,CAP_LT30K,Branch,Stock,2,1,1,1,1,2530.0,2800.0,5330.0,2665.0,1.0,770,Balanced
4CD9F56EE8DC6AA7B5EB,Mass,CAP_LT30K,Branch,Stock,6,3,3,3,1,789.7560000000001,662.57,1452.326,242.05433333333335,1.0,889,Income
AD999151037D87B7C5C8,Premium,CAP_30K_80K,Branch,Stock,3,1,2,1,1,80841.12800000001,69378.58,150219.708,50073.236000000004,0.5,787,Aggressive
25816BA1392D5EFD27A3,Mass,CAP_LT30K,Branch,MTF,3,1,2,1,1,1326.9217189999997,1346.6116169999998,2673.5333359999995,891.1777786666665,0.5,875,Income
662EB9DBECBC9B2E4174,Premium,CAP_LT30K,Branch,Stock,2,1,1,1,1,3717.42,3396.24,7113.66,3556.83,1.0,412,Conservative
C6EB2FF91F35DD74D504,Mass,CAP_LT30K,Branch,MTF,4,2,2,2,1,785.5180558999999,872.4906209000001,1658.0086768,414.5021692,1.0,1645,Conservative
C9304FCA67E1A2CD3F3B,Mass,CAP_LT30K,Branch,Stock,2,1,1,1,1,222.96,107.808,330.76800000000003,165.38400000000001,1.0,1710,Income
6606B43FBA87A2B0B202,Premium,CAP_30K_80K,Internet Banking,Stock,15,7,8,7,1,172415.05,189415.95,361831.0,24122.066666666666,0.875,735,Balanced
B64B902FFCDEA6EE5368,Mass,CAP_LT30K,Branch,MTF,5,2,3,2,1,2280.9927957,2649.9395692000003,4930.9323649,986.18647298,0.6666666666666666,1584,Income
ADDF0CE53A6C6BC08F0D,Mass,CAP_LT30K,Internet Banking,Stock,4,2,2,2,1,372.6,1145.0,1517.6,379.4,1.0,1457,Balanced
298F76F8BCA14BEFCD5C,Mass,CAP_LT30K,Branch,Stock,2,1,1,1,1,140.28,203.58,343.86,171.93,1.0,1478,Conservative
3B481F0C52E2D3296156,Premium,CAP_30K_80K,Branch,Stock,18,13,5,9,1,36420.020000000004,31664.3,68084.32,3782.4622222222224,2.6,1764,Income
BEA47656C0FBA862F975,Mass,CAP_80K_300K,Branch,Stock,7,5,2,4,1,23078.8,14210.0,37288.8,5326.971428571429,2.5,1477,Balanced
3CA3EF4FB00CD6C29207,Mass,CAP_30K_80K,Branch,MTF,2,1,1,1,1,495695.88720043,491813.9667954099,987509.8539958398,493754.9269979199,1.0,597,Balanced
644491AD1F7359399D02,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,1308.1131525,1238.1000124999998,2546.213165,1273.1065825,1.0,1014,Conservative
ECA870786C856E40D262,Mass,CAP_LT30K,Internet Banking,Stock,12,8,4,5,1,7903.8279999999995,5634.6,13538.428,1128.2023333333334,2.0,1645,Income
4DE7615F83A14867BDD8,Mass,CAP_LT30K,Branch,Stock,2,1,1,1,1,140.28,114.84,255.12,127.56,1.0,294,Conservative
C509546F6501617A3CE2,Premium,CAP_80K_300K,Branch,MTF,16,8,8,4,1,426340.9577596,437457.67201790004,863798.6297775,53987.41436109375,1.0,1332,Balanced
1A4693F9AC57B7239B57,Mass,CAP_30K_80K,Branch,Stock,20,10,10,10,1,24433.594,33579.487,58013.081000000006,2900.65405,1.0,1247,Income
351DC979777C9FD5102D,Mass,CAP_LT30K,Branch,MTF,3,1,2,1,1,1983.2505,2453.0316000000003,4436.2821,1478.7607,0.5,1598,Conservative
6200926B34A3ED0B050E,Mass,CAP_30K_80K,Branch,Stock,2,1,1,1,1,81.83,124.39,206.22,103.11,1.0,1505,Income
B9582334E5C66D6832CC,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,504.2352987,393.6448134,897.8801120999999,448.94005604999995,1.0,293,Income
643DACA496D34B3FDAC9,Premium,CAP_LT30K,Branch,MTF,2,1,1,1,1,150005.744301,150066.43457450002,300072.1788755,150036.08943775,1.0,20,Conservative
15D3BCB38D33CADD87C8,Professional,CAP_LT30K,Branch,Stock,2,1,1,1,1,3276.0,3332.0,6608.0,3304.0,1.0,114,Balanced
4E445717E3E515A22BCE,Premium,CAP_30K_80K,Branch,Stock,3,2,1,2,1,19300.0,15000.0,34300.0,11433.333333333334,2.0,763,Aggressive
068045BD059DE25E8159,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,1230.4298664,985.8554864,2216.2853528,1108.1426764,1.0,946,Conservative
3449BE36E096539E3681,Mass,CAP_30K_80K,Internet Banking,Stock,3,2,1,2,1,11114.75,6666.88,17781.63,5927.21,2.0,1294,Balanced
F6CD52A5E5905AD0AB59,Mass,CAP_LT30K,Branch,Stock,6,3,3,3,1,7558.5,8246.5,15805.0,2634.1666666666665,1.0,769,Income
2E26EA19D8022E2A1337,Mass,CAP_LT30K,Branch,Stock,8,4,4,4,1,2163.104,2570.889,4733.993,591.749125,1.0,1092,Balanced
0424BC27A3FFF8382BAB,Mass,CAP_LT30K,Branch,Stock,4,2,2,2,1,29.130000000000003,34.64,63.77,15.9425,1.0,1715,Income
1357EF4EB6E4A12B376E,Premium,CAP_80K_300K,Branch,Stock,6,3,3,3,1,2650.7799999999024,7295.48,9946.259999999902,1657.7099999999837,1.0,1429,Income
C0E579FBB5AE9ECA933E,Mass,CAP_LT30K,Internet Banking,Stock,2,1,1,1,1,416.0,276.0,692.0,346.0,1.0,1253,Income
8C1E57D887C22D04C086,Mass,CAP_LT30K,Internet Banking,Stock,4,2,2,2,1,36514.0,27156.24,63670.240000000005,15917.560000000001,1.0,1071,Balanced
48D1C7014CD7F895E6B0,Mass,CAP_LT30K,Internet Banking,Stock,2,1,1,1,1,2338.0,3420.0000000000005,5758.0,2879.0,1.0,1695,Income
18648B87B4AF213FC877,Mass,CAP_LT30K,Branch,MTF,3,1,2,1,1,9404.5560168,9681.9587592,19086.514776,6362.171592,0.5,1102,Conservative
062B3F8D60EE63D9BFB3,Mass,CAP_30K_80K,Internet Banking,Stock,2,1,1,1,1,563.6800000000001,2210.005,2773.6850000000004,1386.8425000000002,1.0,1514,Aggressive
4EACAFFA91A0382A8AD8,Mass,CAP_30K_80K,Internet Banking,Stock,2,1,1,1,1,1753.5,2130.0,3883.5,1941.75,1.0,1200,Income
138DB3F74C3732D1BD00,Mass,CAP_LT30K,Branch,MTF,3,1,2,1,1,5094.705,5051.764,10146.469000000001,3382.156333333334,0.5,1268,Income
2F8118A137D8970A011B,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,1753.6952895,2163.0979049,3916.7931943999997,1958.3965971999999,1.0,1372,Income
C49837AECD473F18AD40,Mass,CAP_LT30K,Branch,Bond,2,1,1,1,1,200.7072,201.66,402.3672,201.1836,1.0,211,Income
CBFCF253D9C942A0E038,Mass,CAP_LT30K,Branch,Stock,2,1,1,1,1,713.0899999999999,967.46,1680.55,840.275,1.0,1711,Conservative
A7BE06A3EF4D9818F46B,Mass,CAP_LT30K,Branch,Stock,4,2,2,2,1,339.15999999999997,344.44,683.5999999999999,170.89999999999998,1.0,204,Balanced
D4B32F7037352518F8EF,Premium,CAP_30K_80K,Branch,Stock,2,1,1,1,1,186.3,380.7,567.0,283.5,1.0,1045,Income
BB1F715665D48E2B6026,Mass,CAP_LT30K,Branch,MTF,8,1,7,1,1,10451.7,10360.39,20812.09,2601.51125,0.14285714285714285,1569,Income
560C67B6C9418A09219C,Premium,CAP_LT30K,Branch,Stock,8,6,2,5,1,30244.1,13720.0,43964.1,5495.5125,3.0,1548,Income
BFD7311C1EBD14A2A6FB,Premium,CAP_80K_300K,Internet Banking,Stock,16,11,5,7,1,14267.5,16170.0,30437.5,1902.34375,2.2,1183,Balanced
754ED437CFA70B81B6EE,Mass,CAP_LT30K,Branch,Stock,2,1,1,1,1,377.3,446.39,823.69,411.845,1.0,601,Conservative
BA4D162FC25EDCC9E33E,Mass,CAP_LT30K,Branch,MTF,2,1,1,1,1,542.3579196000001,561.8375606,1104.1954802,552.0977401,1.0,1336,Conservative
7DA66B31A1C93AA36AA0,Mass,CAP_LT30K,Internet Banking,Stock,2,1,1,1,1,70.81,66.92999999999999,137.74,68.87,1.0,1240,Aggressive
